软件开发云中各个区域的数据是否共通？	软件开发云中各个区域的数据不共通，各自独立，如：东北区创建的项目、代码仓库、任务等，在华北区看不到，反之一样。此外，各个区域中各服务的使用量、计费情况也是分开计算的。说明：软件开发云目前只支持东北区和华北区。
RDS实例在扩容期间是否一直可用	目前，RDS支持磁盘扩容和CPU内存规格变更。在磁盘扩容期间，RDS实例一直可用，业务不受影响，但不允许删除和重启实例。不支持磁盘扩容。在CPU内存规格变更期间，将会重启数据库服务，RDS实例不可用，用户无法连接实例。且在规格变更期间，该实例不可删除。
云服务器添加网卡后是否会自动启动？	弹性云服务器的操作系统为CentOS7时，添加网卡后在弹性云服务器内部无法自启动，需要手动激活。
什么是云硬盘	云硬盘，EVS是一种基于分布式架构的，可弹性扩展的虚拟块存储设备。您可以通过管理控制台创建云硬盘并挂载给云服务器，云服务器可以为弹性云服务器或者裸金属服务器，云硬盘的使用方式与传统服务器硬盘完全一致。同时，云硬盘具有更高的数据可靠性，更高的I吞吐能力和更加简单易用等特点，适用于文件系统、数据库或者其他需要块存储设备的系统软件或应用。云硬盘也称磁盘。
我可以共享我在OBS上的对象数据吗？	我可以共享我在OBS上的对象数据吗？显示对象URL我可以共享我在OBS上的对象数据吗？我可以共享我在OBS上的对象数据吗？对象URL对象共享功能，可实现匿名用户通过共享链接地址，直接访问对象数据。提供对象URL功能，当用户为特定对象设置了匿名用户的读取权限时，所有匿名用户均可使用该对象的URL链接地址，快速访问此特定对象。
如何确保在VPC中运行的DDS的安全	安全组可用来帮助确保VPC内实例的安全。此外，通过网络访问控制列表，可以允许或拒绝进入和退出各个子网的网络流量。内部安全基础设施包括网络防火墙、入侵检测和防护系统可以监视通过IPsecVPN连接进入或退出VPC的所有网络流量。
会议设备激活失败，无法接入会议？	激活失败，无法接入会议？会议设备注册失败。登录会议设备界面，观察右下角是否有图标。如果没有，则表示SIP注册失败。单击系统配置基本信息，查看系统时间是否与当前时间差距较大，将系统时间调整为当前时间。如上述方法仍未解决问题，请联系客服人员，检查SIP号码是否被加入黑名单。
RDSforMySQL支持哪些存储引擎	目前只支持InnoDB存储引擎。
是否支持第三方JDBC和ODBC驱动？	支持开源PostgreSQL的JDBC和ODBC驱动，也支持Redshift的JDBC和ODBC驱动，可能存在兼容性问题。
云监控服务是否收费？	云监控服务目前免费提供，无需付费。
